id,gold,pred,correct
mathvista_0001,1.2,1,0
mathvista_0002,1000,1000,1
mathvista_0003,C,A,0
mathvista_0004,4,4,1
mathvista_0005,A,E,0
mathvista_0006,A,S,0
mathvista_0007,B,E,0
mathvista_0008,A,,0
mathvista_0009,D,D,1
mathvista_0010,E,E,1
mathvista_0011,5,5,1
mathvista_0012,A,B,0
mathvista_0013,0,90,0
mathvista_0014,A,,0
mathvista_0015,B,S,0
mathvista_0016,2,5,0
mathvista_0017,A,A,1
mathvista_0018,B,S,0
mathvista_0019,400,600,0
mathvista_0020,B,A,0
mathvista_0021,2,2,1
mathvista_0022,0,0,1
mathvista_0023,B,X,0
mathvista_0024,B,B,1
mathvista_0025,B,,0
mathvista_0026,B,B,1
mathvista_0027,11,37,0
mathvista_0028,C,A,0
mathvista_0029,4,4,1
mathvista_0030,B,E,0
mathvista_0031,B,B,1
mathvista_0032,D,C,0
mathvista_0033,C,C,1
mathvista_0034,B,B,1
mathvista_0035,B,C,0
mathvista_0036,9,7,0
mathvista_0037,3,-1,0
mathvista_0038,0,0,1
mathvista_0039,A,S,0
mathvista_0040,7,7,1
mathvista_0041,7,0,0
mathvista_0042,8,10,0
mathvista_0043,C,C,1
mathvista_0044,18,18,1
mathvista_0045,-3,-3,1
mathvista_0046,C,C,1
mathvista_0047,6,7,0
mathvista_0048,B,T,0
mathvista_0049,0,10,0
mathvista_0050,D,S,0
mathvista_0051,A,,0
mathvista_0052,6,6,1
mathvista_0053,1,0,0
mathvista_0054,B,B,1
mathvista_0055,C,,0
mathvista_0056,6,6,1
mathvista_0057,2,2,1
mathvista_0058,A,A,1
mathvista_0059,C,O,0
mathvista_0060,22,0,0
mathvista_0061,B,B,1
mathvista_0062,A,,0
mathvista_0063,7,7,1
mathvista_0064,B,M,0
mathvista_0065,A,A,1
mathvista_0066,A,,0
mathvista_0067,16,16,1
mathvista_0068,B,C,0
mathvista_0069,7,9,0
mathvista_0070,8,10,0
mathvista_0071,18,18,1
mathvista_0072,1,1,1
mathvista_0073,D,,0
mathvista_0074,47.6,47.6,1
mathvista_0075,B,B,1
mathvista_0076,A,A,1
mathvista_0077,2019,2009,0
mathvista_0078,8,2,0
mathvista_0079,C,D,0
mathvista_0080,A,A,1
mathvista_0081,-1,0,0
mathvista_0082,C,A,0
mathvista_0083,A,,0
mathvista_0084,130.9,"Looking at the diagram, we have a square ABCD with an inscribed circle centered at O. The circle passes through points E, F, G, H on the sides of the square, and also intersects the diagonals.

Points A, B, C, D are the vertices of the square. The diagonals are AC and BD. The circle is inscribed, so its center O is the center of the square, and the diagonals AC and BD intersect at O.

We are asked to find ∠AMK.

From the diagram:
- Point M is the intersection point of the diagonals AC and BD. Since the diagonals of a square bisect each other at right angles, point M is the center of the square, which is also point O. So M = O.
- Point K is the intersection point of diagonal BD and the circle. Since the circle is inscribed and centered at O, and BD is a diagonal passing through O, K is a point on the circle and on BD.
- Point A is a vertex of the square.

So, ∠AMK is the angle at point M (which is O) between points A, M, and K.

Since M is the center of the circle, and A is a vertex",0
mathvista_0085,2,2,1
mathvista_0086,G,,0
mathvista_0087,B,B,1
mathvista_0088,30,2,0
mathvista_0089,25,5,0
mathvista_0090,5,6,0
mathvista_0091,B,B,1
mathvista_0092,B,B,1
mathvista_0093,197.3,213.3,0
mathvista_0094,C,A,0
mathvista_0095,D,O,0
mathvista_0096,3.9,3.9,1
mathvista_0097,0,0,1
mathvista_0098,2,2,1
mathvista_0099,D,S,0
mathvista_0100,12,12,1
mathvista_0101,C,S,0
mathvista_0102,6,6,1
mathvista_0103,2,0,0
mathvista_0104,0.8,1.0,0
mathvista_0105,A,A,1
mathvista_0106,0,0,1
mathvista_0107,B,S,0
mathvista_0108,51.04,51.05,0
mathvista_0109,5,5,1
mathvista_0110,B,B,1
mathvista_0111,5,5,1
mathvista_0112,B,B,1
mathvista_0113,20,24,0
mathvista_0114,B,K,0
mathvista_0115,3,7,0
mathvista_0116,A,,0
mathvista_0117,A,S,0
mathvista_0118,1,98,0
mathvista_0119,D,A,0
mathvista_0120,3,3,1
mathvista_0121,5,5,1
mathvista_0122,B,A,0
mathvista_0123,D,A,0
mathvista_0124,A,A,1
mathvista_0125,B,B,1
mathvista_0126,9,10,0
mathvista_0127,5,5,1
mathvista_0128,6,6,1
mathvista_0129,3,3,1
mathvista_0130,0,0,1
mathvista_0131,3,2019,0
mathvista_0132,C,B,0
mathvista_0133,4,4,1
mathvista_0134,C,C,1
mathvista_0135,A,A,1
mathvista_0136,64,64,1
mathvista_0137,B,X,0
mathvista_0138,A,A,1
mathvista_0139,B,I,0
mathvista_0140,A,S,0
mathvista_0141,C,A,0
mathvista_0142,B,B,1
mathvista_0143,C,E,0
mathvista_0144,13.8,13.8,1
mathvista_0145,10,6,0
mathvista_0146,4,4,1
mathvista_0147,B,V,0
mathvista_0148,D,D,1
mathvista_0149,A,,0
mathvista_0150,A,A,1
mathvista_0151,A,,0
mathvista_0152,C,O,0
mathvista_0153,D,D,1
mathvista_0154,B,X,0
mathvista_0155,A,A,1
mathvista_0156,4,4,1
mathvista_0157,9335,30,0
mathvista_0158,7,0,0
mathvista_0159,100,100,1
mathvista_0160,C,C,1
mathvista_0161,71,3695,0
mathvista_0162,4,3,0
mathvista_0163,7519,4,0
mathvista_0164,B,A,0
mathvista_0165,6,2,0
mathvista_0166,B,A,0
mathvista_0167,2,2,1
mathvista_0168,E,S,0
mathvista_0169,5,5,1
mathvista_0170,C,C,1
mathvista_0171,20,20,1
mathvista_0172,B,B,1
mathvista_0173,B,B,1
mathvista_0174,A,B,0
mathvista_0175,24,24,1
mathvista_0176,D,,0
mathvista_0177,A,,0
mathvista_0178,C,,0
mathvista_0179,D,D,1
mathvista_0180,6,2,0
mathvista_0181,C,A,0
mathvista_0182,B,A,0
mathvista_0183,4,5,0
mathvista_0184,0,0,1
mathvista_0185,B,R,0
mathvista_0186,A,B,0
mathvista_0187,9015,9014,0
mathvista_0188,3,3,1
mathvista_0189,1,1,1
mathvista_0190,2,3,0
mathvista_0191,4,36,0
mathvista_0192,C,C,1
mathvista_0193,3,3,1
mathvista_0194,50,40,0
mathvista_0195,C,C,1
mathvista_0196,C,E,0
mathvista_0197,2,0,0
mathvista_0198,A,L,0
mathvista_0199,0.21,2.00,0
mathvista_0200,A,A,1
