id,gold,pred,correct
mmstar_000782,B,,0
mmstar_001252,A,X,0
mmstar_000056,A,,0
mmstar_001406,D,D,1
mmstar_001073,B,A,0
mmstar_000754,B,B,1
mmstar_000817,B,B,1
mmstar_000857,C,C,1
mmstar_000959,A,D,0
mmstar_000912,A,C,0
mmstar_000800,D,S,0
mmstar_000288,D,C,0
mmstar_001278,A,,0
mmstar_000225,B,B,1
mmstar_001103,A,A,1
mmstar_000942,B,,0
mmstar_001192,A,A,1
mmstar_000090,D,D,1
mmstar_000989,A,A,1
mmstar_001483,D,A,0
mmstar_001351,D,A,0
mmstar_001068,C,P,0
mmstar_000040,A,A,1
mmstar_000811,A,A,1
mmstar_000386,B,,0
mmstar_000870,A,A,1
mmstar_001498,C,C,1
mmstar_000114,C,S,0
mmstar_001340,C,S,0
mmstar_000945,A,A,1
mmstar_001311,B,D,0
mmstar_001027,D,D,1
mmstar_001204,B,A,0
mmstar_000918,C,,0
mmstar_000486,B,B,1
mmstar_000590,B,A,0
mmstar_000824,C,,0
mmstar_000204,B,A,0
mmstar_000729,C,C,1
mmstar_001349,D,B,0
mmstar_001423,B,G,0
mmstar_001266,B,A,0
mmstar_000496,A,,0
mmstar_000909,A,,0
mmstar_000747,C,S,0
mmstar_000526,D,S,0
mmstar_000854,B,C,0
mmstar_000774,B,B,1
mmstar_001145,B,S,0
mmstar_000975,A,B,0
mmstar_000176,B,B,1
mmstar_001225,C,P,0
mmstar_000685,A,S,0
mmstar_001205,A,B,0
mmstar_000579,C,,0
mmstar_000085,C,,0
mmstar_001489,A,A,1
mmstar_000916,A,D,0
mmstar_001241,B,,0
mmstar_000159,B,B,1
mmstar_001380,A,B,0
mmstar_000929,B,,0
mmstar_000050,A,,0
mmstar_001455,B,A,0
mmstar_000373,B,B,1
mmstar_000405,D,D,1
mmstar_000008,B,A,0
mmstar_000702,A,,0
mmstar_000384,B,B,1
mmstar_001428,A,,0
mmstar_000298,B,C,0
mmstar_000877,C,C,1
mmstar_000710,C,D,0
mmstar_000572,C,C,1
mmstar_001372,C,A,0
mmstar_000801,D,S,0
mmstar_000620,A,A,1
mmstar_000901,A,A,1
mmstar_001017,C,,0
mmstar_000228,D,D,1
mmstar_000853,A,B,0
mmstar_001246,A,A,1
mmstar_000794,A,A,1
mmstar_001493,A,H,0
mmstar_000216,A,A,1
mmstar_000791,D,D,1
mmstar_000605,B,S,0
mmstar_000924,A,A,1
mmstar_001088,A,,0
mmstar_000976,C,C,1
mmstar_000532,C,C,1
mmstar_000155,B,,0
mmstar_001392,B,A,0
mmstar_000990,C,C,1
mmstar_000271,B,B,1
mmstar_001329,A,C,0
mmstar_001358,D,C,0
mmstar_001486,D,B,0
mmstar_000018,A,A,1
mmstar_000303,A,A,1
mmstar_000925,B,B,1
mmstar_000183,D,D,1
mmstar_000652,D,D,1
mmstar_000464,C,,0
mmstar_000478,B,,0
mmstar_000424,B,,0
mmstar_000393,D,A,0
mmstar_000714,D,D,1
mmstar_000577,A,A,1
mmstar_001269,C,C,1
mmstar_000124,B,A,0
mmstar_000272,C,D,0
mmstar_000059,D,D,1
mmstar_000934,B,,0
mmstar_001160,C,C,1
mmstar_001155,A,,0
mmstar_000992,B,B,1
mmstar_000554,C,A,0
mmstar_000482,D,B,0
mmstar_001006,D,B,0
mmstar_000660,B,A,0
mmstar_000708,B,B,1
mmstar_000209,A,A,1
mmstar_000576,C,C,1
mmstar_001149,B,S,0
mmstar_000903,D,D,1
mmstar_001168,D,O,0
mmstar_000963,B,B,1
mmstar_000832,B,B,1
mmstar_000758,C,,0
mmstar_001191,B,B,1
mmstar_000644,B,B,1
mmstar_001082,D,,0
mmstar_000650,B,S,0
mmstar_001362,A,C,0
mmstar_000046,A,A,1
mmstar_000565,A,C,0
mmstar_001325,B,D,0
mmstar_000943,A,A,1
mmstar_000670,A,,0
mmstar_000399,D,D,1
mmstar_000712,B,B,1
mmstar_001363,A,S,0
mmstar_000887,D,D,1
mmstar_001286,C,C,1
mmstar_000813,A,A,1
mmstar_000412,B,B,1
mmstar_001294,D,G,0
mmstar_000188,A,,0
mmstar_000137,B,B,1
mmstar_000616,C,,0
mmstar_001015,D,P,0
mmstar_001176,B,A,0
mmstar_000226,C,C,1
mmstar_001476,D,S,0
mmstar_000265,C,C,1
mmstar_000527,D,D,1
mmstar_000351,A,A,1
mmstar_001336,B,A,0
mmstar_000952,B,C,0
mmstar_001134,C,,0
mmstar_000570,B,,0
mmstar_000624,B,,0
mmstar_000211,A,A,1
mmstar_001384,A,A,1
mmstar_000003,C,C,1
mmstar_001242,D,A,0
mmstar_001259,D,B,0
mmstar_000931,A,,0
mmstar_001141,C,C,1
mmstar_000739,A,S,0
mmstar_000825,A,A,1
mmstar_000345,C,C,1
mmstar_000645,A,A,1
mmstar_000787,A,A,1
mmstar_000145,C,A,0
mmstar_001020,D,D,1
mmstar_001085,B,,0
mmstar_001226,D,D,1
mmstar_000488,B,,0
mmstar_000562,A,,0
mmstar_001131,B,,0
mmstar_000584,D,S,0
mmstar_000108,B,A,0
mmstar_000404,C,C,1
mmstar_001310,A,A,1
mmstar_000984,C,,0
mmstar_000966,B,F,0
mmstar_001101,A,A,1
mmstar_000690,D,D,1
mmstar_001360,D,H,0
mmstar_001283,C,D,0
mmstar_001364,D,E,0
mmstar_001397,D,E,0
mmstar_000545,B,B,1
mmstar_001443,C,C,1
mmstar_000160,B,B,1
mmstar_000611,A,,0
mmstar_001239,C,A,0
mmstar_001395,A,A,1
mmstar_000807,D,D,1
mmstar_000058,B,A,0
mmstar_000462,B,B,1
mmstar_000922,A,A,1
mmstar_000261,B,D,0
